Time,angacc_inside_ball_datas,angacc_outside_ball_datas,angvel_inside_ball_datas,angvel_outside_ball_datas,ctrl_v_x_datas,intside_x_pos_datas,outside_x_pos_datas
0.0,0.18186104528984134,0.20418437072463447,49.505,0.0,50.0,0.0,0.0
0.20000000000000015,-1.5994758013643007e-05,6.662343909053074e-05,49.50495823635011,-6.28755634245767e-07,50.0,8.380239303432687e-17,8.380239303432687e-17
0.4000000000000003,-3.4724925136414035e-06,9.293537549896474e-06,49.504951785649716,-1.4620498708590977e-08,50.0,2.6680541620631754e-16,2.6680541620631754e-16
0.6000000000000004,-4.068474974656656e-06,-2.2783241989472778e-06,49.504950763671125,4.304065147945015e-08,50.0,1.8932844371044657e-17,1.8932844371044657e-17
0.8000000000000006,2.1077298829413819e-07,6.048558084894883e-07,49.504950505196234,-2.6367142258311514e-08,50.0,1.8460888678271645e-16,1.8460888678271645e-16
1.0000000000000007,-1.6738204260365452e-07,-1.3294807149891148e-07,49.504950509591644,9.144139042065645e-09,50.0,-4.741912607146653e-16,-4.741912607146653e-16
1.2009999999999785,1.1467853045141749e-08,2.4945810072542323e-08,49.504950493445016,-2.8026844938569203e-09,50.0,-1.3685374791840339e-17,-1.3685374791840339e-17
1.4019999999999564,-3.239439668091382e-09,-2.8475151116942785e-09,49.504950495854736,7.279356737031632e-10,50.0,-2.0961034859456847e-16,-2.0961034859456847e-16
1.6029999999999343,-7.128108543766536e-10,-3.093428761892913e-10,49.504950494928494,-1.6942835836695322e-10,50.0,-1.1623487453025074e-16,-1.1623487453025074e-16
1.8039999999999121,3.0481385846081994e-10,3.239663490600214e-10,49.504950495080315,3.2533551549083665e-11,50.0,-3.7955901305053146e-16,-3.7955901305053146e-16
2.00499999999989,-1.7338283244156946e-10,-1.7412393365511203e-10,49.50495049504699,-4.4942809831827605e-12,50.0,-2.262562307104667e-16,-2.262562307104667e-16
2.205999999999868,2.486585840322087e-11,2.6098273567985384e-11,49.504950495049265,-6.525106001646298e-14,50.0,-5.21136704949164e-17,-5.21136704949164e-17
2.406999999999846,4.905637734168787e-12,5.867349198543029e-12,49.50495049504991,3.6902012274173993e-13,50.0,-1.4733729598325143e-16,-1.4733729598325143e-16
2.607999999999824,4.663967606668988e-12,5.366639897510978e-12,49.504950495049414,-1.0489972983410785e-13,50.0,-2.9088584518662283e-16,-2.9088584518662283e-16
2.8089999999998017,-5.844838406258444e-12,-6.460953886718206e-12,49.5049504950495,-1.4263264219573157e-14,50.0,9.251577751464008e-17,9.251577751464008e-17
3.0099999999997795,1.4951736381604093e-11,1.677436645682722e-11,49.504950495049535,2.5540359896261284e-14,50.0,-8.058942134820616e-17,-8.058942134820616e-17
3.2109999999997574,-1.4482823637000889e-11,-1.6077765747868997e-11,49.50495049504953,9.05522576079856e-15,50.0,-1.3089241488664444e-16,-1.3089241488664444e-16
3.4119999999997352,3.404099144288547e-12,4.013319364455398e-12,49.504950495049535,8.64343114452817e-15,50.0,-2.2843143314285595e-16,-2.2843143314285595e-16
3.612999999999713,6.124411167740546e-12,7.00233723344121e-12,49.504950495049584,6.494781247715305e-14,50.0,-3.230480652821219e-16,-3.230480652821219e-16
3.813999999999691,-1.1081646421891725e-11,-1.2326178864227135e-11,49.504950495049535,1.8080855613191147e-14,50.0,-4.785871076240748e-16,-4.785871076240748e-16
4.0149999999996755,-5.220553467499254e-12,-5.818598174168553e-12,49.504950495049506,-2.476490173399684e-15,50.0,-4.711441346336689e-16,-4.711441346336689e-16
4.214999999999742,7.258699080815453e-12,8.100433082662785e-12,49.5049504950495,-8.766510438589789e-16,50.0,-4.3335267323899044e-16,-4.3335267323899044e-16
4.414999999999809,-1.9900756584019298e-11,-2.2203582245810085e-11,49.50495049504953,1.3082963602886238e-14,50.0,-3.0139918519789535e-16,-3.0139918519789535e-16
4.614999999999876,1.959852998744937e-11,2.197877529537379e-11,49.504950495049506,-1.001022539302544e-15,50.0,-2.4299944452845776e-16,-2.4299944452845776e-16
4.814999999999943,2.954468774524409e-11,3.3118471859308916e-11,49.50495049504957,6.140488996208702e-14,50.0,-2.9239797559045524e-16,-2.9239797559045524e-16
5.0150000000000095,6.600337965374817e-13,1.0545412193278016e-12,49.504950495049556,2.0164515093058965e-14,50.0,-1.1983975457111256e-16,-1.1983975457111256e-16
5.215000000000076,-3.407013995870404e-11,-3.818786664159874e-11,49.50495049504949,-9.20726461271638e-15,50.0,-8.467414984380858e-17,-8.467414984380858e-17
5.415000000000143,-8.737365592408598e-13,-8.93319818058547e-13,49.50495049504954,2.964090486171948e-14,50.0,2.231148540668264e-16,2.231148540668264e-16
5.61500000000021,2.6350482973947503e-11,2.96555376563929e-11,49.504950495049556,3.328785220550587e-14,50.0,1.5379482238332533e-16,1.5379482238332533e-16
5.815000000000277,1.5395748310139168e-11,1.7213928219505798e-11,49.50495049504956,6.426211814001639e-14,50.0,2.78021817062204e-17,2.78021817062204e-17
6.015000000000343,1.0078879491345712e-11,1.1028996931754828e-11,49.50495049504946,-1.78242538088566e-14,50.0,1.260852177860883e-16,1.260852177860883e-16
6.21500000000041,-1.0714346467183446e-11,-1.2029377931095524e-11,49.50495049504951,1.1182222104136962e-14,50.0,1.6780240879009523e-16,1.6780240879009523e-16
6.415000000000477,-8.133693888648694e-12,-9.081315445856123e-12,49.50495049504951,9.624703328096112e-15,50.0,2.507373692546797e-16,2.507373692546797e-16
6.615000000000544,1.1461671987228463e-11,1.2807762737845494e-11,49.50495049504954,4.436707818267819e-14,50.0,1.5532498487763006e-16,1.5532498487763006e-16
